accession	organism	kingdom	length	sp_cleavage_site
O77801	Bos taurus	Metazoa	132	21
P30120	Rattus norvegicus	Metazoa	217	23
P08818	Hordeum vulgare	Plants	476	34
Q27270	Tenebrio molitor	Metazoa	96	18
P11021	Homo sapiens	Metazoa	654	18
P01795	Mus musculus	Metazoa	144	19
P82818	Bombyx mori	Metazoa	66	24
Q60994	Mus musculus	Metazoa	247	17
Q8JFE6	Bombina maxima	Metazoa	96	19
P56595	Canis lupus familiaris	Metazoa	88	26
P06858	Homo sapiens	Metazoa	475	27
P01303	Homo sapiens	Metazoa	97	28
Q29616	Macropus giganteus	Metazoa	149	22
P45658	Androctonus australis	Metazoa	84	19
P05231	Homo sapiens	Metazoa	212	29
P01780	Homo sapiens	Metazoa	117	19
P10820	Mus musculus	Metazoa	554	20
P06213	Homo sapiens	Metazoa	1382	27
Q8WQK0	Cotesia rubecula	Metazoa	65	23
Q8BK48	Mus musculus	Metazoa	559	26
Q43418	Colocasia esculenta	Plants	229	23
P43555	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	445	28
Q60GF7	Rattus norvegicus	Metazoa	252	22
Q94733	Rhodnius prolixus	Metazoa	202	23
C1IC52	Walterinnesia aegyptia	Metazoa	81	24
P18959	Manduca sexta	Metazoa	168	26
P06399	Rattus norvegicus	Metazoa	782	19
P01185	Homo sapiens	Metazoa	164	19
P02770	Rattus norvegicus	Metazoa	608	18
P14095	Rattus norvegicus	Metazoa	96	24
Q9BX74	Homo sapiens	Metazoa	207	37
A9UGV5	Oryza sativa subsp. japonica	Plants	68	30
P01042	Homo sapiens	Metazoa	644	18
O22317	Musa acuminata	Plants	340	28
P82384	Drosophila melanogaster	Metazoa	92	16
Q7T3J2	Bungarus candidus	Metazoa	95	21
Q42372	Robinia pseudoacacia	Plants	286	31
P19136	Phanerodontia chrysosporium	Fungi	382	24
P01238	Sus scrofa	Metazoa	229	30
Q96HF1	Homo sapiens	Metazoa	295	24
P60214	Tityus obscurus	Metazoa	86	20
P04552	Haliotis rufescens	Metazoa	154	18
Q5F0I3	Gynostemma pentaphyllum	Plants	300	23
P67876	Aspergillus restrictus	Fungi	176	27
P01602	Homo sapiens	Metazoa	117	22
Q13007	Homo sapiens	Metazoa	206	51
Q63415	Rattus norvegicus	Metazoa	937	45
P17314	Triticum aestivum	Plants	168	25
O75629	Homo sapiens	Metazoa	220	31
Q6UWN8	Homo sapiens	Metazoa	80	23
P09341	Homo sapiens	Metazoa	107	34
P02808	Homo sapiens	Metazoa	62	19
P82187	Equus caballus	Metazoa	185	20
Q5ZPR3	Homo sapiens	Metazoa	534	28
Q01682	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	463	18
P06205	Limulus polyphemus	Metazoa	242	24
Q96FE7	Homo sapiens	Metazoa	263	21
Q7M419	Oligobrachia mashikoi	Metazoa	156	16
P08375	Sarcophaga peregrina	Metazoa	63	23
O42257	Naja sputatrix	Metazoa	90	21
P24330	Crotalus adamanteus	Metazoa	70	22
Q00193	Oryctolagus cuniculus	Metazoa	540	24
Q8N126	Homo sapiens	Metazoa	398	24
P10281	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	276	17
Q8I0L5	Olivierus martensii	Metazoa	59	22
Q8JI39	Protobothrops flavoviridis	Metazoa	240	19
P31608	Sagittaria sagittifolia	Plants	181	24
P81827	Rattus norvegicus	Metazoa	101	21
Q8AXY1	Bothrops jararacussu	Metazoa	138	16
O46654	Sorex araneus	Metazoa	147	20
A2AJB7	Mus musculus	Metazoa	192	26
P08989	Canis lupus familiaris	Metazoa	146	23
P00703	Meleagris gallopavo	Metazoa	147	18
P13500	Homo sapiens	Metazoa	99	23
A8CG78	Daboia siamensis	Metazoa	138	16
P13432	Rattus norvegicus	Metazoa	146	22
P01824	Homo sapiens	Metazoa	125	26
P93484	Pisum sativum	Plants	623	22
P14217	Chlamydomonas reinhardtii	Plants	647	21
P48740	Homo sapiens	Metazoa	699	19
P01232	Sus scrofa	Metazoa	141	20
P78581	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	588	18
P08505	Mus musculus	Metazoa	211	24
P0DPU1	Scolopendra dehaani	Metazoa	210	23
C7F6X3	Leucosporidium sp. (strain AY30)	Fungi	261	20
A0A1S6EK91	Moringa oleifera	Plants	79	20
C0HJQ5	Mesobuthus eupeus	Metazoa	57	28
P80090	Lymnaea stagnalis	Metazoa	122	29
P01023	Homo sapiens	Metazoa	1474	23
P28039	Homo sapiens	Metazoa	575	23
P08937	Rattus norvegicus	Metazoa	172	15
Q02795	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	286	19
Q9UBD3	Homo sapiens	Metazoa	114	21
P0DN86	Homo sapiens	Metazoa	165	20
Q7ZZN8	Naja atra	Metazoa	238	19
Q9U8D2	Olivierus martensii	Metazoa	57	28
Q8WUJ3	Homo sapiens	Metazoa	1361	30
P0DPU8	Scolopendra dehaani	Metazoa	105	24
B5LZ79	Gymnadenia conopsea	Plants	75	30
A0A2J6KL39	Lactuca sativa	Plants	117	25
Q6IY74	Oryctolagus cuniculus	Metazoa	141	18
Q9YGJ0	Bungarus multicinctus	Metazoa	89	21
G4V4F9	Cupiennius salei	Metazoa	97	19
P31358	Homo sapiens	Metazoa	61	24
Q01965	Mus musculus	Metazoa	654	47
P85213	Galleria mellonella	Metazoa	72	29
Q9P2K2	Homo sapiens	Metazoa	825	27
P01599	Homo sapiens	Metazoa	117	22
P28053	Bos taurus	Metazoa	469	18
Q8NBJ9	Homo sapiens	Metazoa	832	18
P42256	Aspergillus niger	Fungi	321	19
P0DPV3	Scolopendra dehaani	Metazoa	73	23
P18649	Canis lupus familiaris	Metazoa	323	18
Q9BZM5	Homo sapiens	Metazoa	246	25
P20702	Homo sapiens	Metazoa	1163	19
P07151	Rattus norvegicus	Metazoa	119	20
P12314	Homo sapiens	Metazoa	374	15
Q9NRM6	Homo sapiens	Metazoa	502	17
P20112	Sus scrofa	Metazoa	300	17
P04196	Homo sapiens	Metazoa	525	18
P81160	Drosophila melanogaster	Metazoa	54	21
P35590	Homo sapiens	Metazoa	1138	21
Q5UCC4	Homo sapiens	Metazoa	262	25
Q06K97	Phlebotomus duboscqi	Metazoa	395	18
P04937	Rattus norvegicus	Metazoa	2477	24
P08056	Rhizopus niveus	Fungi	238	16
P81702	Ceratocystis fimbriata f. sp. platani	Fungi	134	14
P67970	Gallus gallus	Metazoa	107	24
A9XE60	Mesobuthus eupeus	Metazoa	91	19
P18658	Macaca fascicularis	Metazoa	101	22
P50895	Homo sapiens	Metazoa	628	31
Q6RG02	Penaeus merguiensis	Metazoa	2586	18
P60213	Tityus obscurus	Metazoa	86	20
P01764	Homo sapiens	Metazoa	117	19
Q3L245	Leucoagaricus meleagris	Fungi	602	25
P19121	Gallus gallus	Metazoa	615	18
P34180	Vipera ammodytes ammodytes	Metazoa	137	16
P21814	Ovis aries	Metazoa	429	25
P32936	Hordeum vulgare	Plants	149	24
P08796	Dictyostelium discoideum	Other	514	19
P10975	Ricinus communis	Plants	116	24
P09487	Bos taurus	Metazoa	524	17
Q76BW5	Oryza sativa subsp. japonica	Plants	290	25
A1BQQ5	Conus marmoreus	Metazoa	289	24
Q9IAM1	Deinagkistrodon acutus	Metazoa	152	23
P11590	Mus musculus	Metazoa	178	16
Q6PSU2	Arachis hypogaea	Plants	172	21
P0DL40	Vespa magnifica	Metazoa	67	21
P55803	Bos taurus	Metazoa	246	28
Q25589	Faxonius limosus	Metazoa	135	26
P01307	Sus scrofa	Metazoa	119	25
Q90WJ9	Takifugu pardalis	Metazoa	391	20
P22748	Homo sapiens	Metazoa	312	18
Q7YT16	Musca domestica	Metazoa	141	19
P38571	Homo sapiens	Metazoa	399	27
Q1ZYQ8	Zea mays	Plants	270	31
P10761	Mus musculus	Metazoa	424	22
P37889	Mus musculus	Metazoa	1221	26
P26216	Zea mays	Plants	410	22
P33577	Petromyzon marinus	Metazoa	119	19
P29523	Bombyx mori	Metazoa	550	39
Q8TCT7	Homo sapiens	Metazoa	592	25
Q41161	Robinia pseudoacacia	Plants	285	31
Q39487	Colocasia esculenta	Plants	267	26
P41822	Aedes aegypti	Metazoa	209	27
P30922	Bos taurus	Metazoa	383	21
P06215	Phaseolus vulgaris	Plants	328	27
P05623	Drosophila melanogaster	Metazoa	55	19
B2KTG1	Bungarus fasciatus	Metazoa	83	24
P05187	Homo sapiens	Metazoa	535	22
P36980	Homo sapiens	Metazoa	270	18
Q06153	Ophiostoma ulmi	Fungi	100	25
P45662	Centruroides noxius	Metazoa	87	19
P43174	Ambrosia psilostachya	Plants	77	22
A0A8U1C2Y4	Apis mellifera	Metazoa	686	19
P10855	Mus musculus	Metazoa	92	23
Q8IFJ8	Scutigera coleoptrata	Metazoa	659	18
Q01129	Rattus norvegicus	Metazoa	354	16
P18684	Protophormia terraenovae	Metazoa	101	18
Q04672	Glycine max	Plants	524	29
P15289	Homo sapiens	Metazoa	507	18
P01782	Homo sapiens	Metazoa	118	19
P20058	Oryctolagus cuniculus	Metazoa	460	25
Q01638	Homo sapiens	Metazoa	556	18
P54900	Rattus norvegicus	Metazoa	215	29
P22327	Trichoplusia ni	Metazoa	624	18
P01225	Homo sapiens	Metazoa	129	18
P19324	Mus musculus	Metazoa	417	17
P34752	Aspergillus niger	Fungi	467	23
C0K3N1	Bitis arietans	Metazoa	150	24
P15270	Dictyostelium discoideum	Other	424	23
P05154	Homo sapiens	Metazoa	406	19
P21570	Mus musculus	Metazoa	145	24
A8CL69	Apis mellifera	Metazoa	195	33
P01311	Oryctolagus cuniculus	Metazoa	110	24
P10124	Homo sapiens	Metazoa	158	27
P79762	Gallus gallus	Metazoa	437	20
A0AT32	Lens culinaris	Plants	118	25
P0CC12	Odontobuthus doriae	Metazoa	57	28
O35314	Rattus norvegicus	Metazoa	675	20
Q7ZT75	Xenopus laevis	Metazoa	315	19
Q9SLY8	Oryza sativa subsp. japonica	Plants	424	29
P13987	Homo sapiens	Metazoa	128	25
P0DPU3	Scolopendra dehaani	Metazoa	577	25
P0C194	Opisthacanthus madagascariensis	Metazoa	63	21
P26203	Oryctolagus cuniculus	Metazoa	137	20
Q76FP5	Hypocrea rufa	Fungi	479	20
P02223	Chironomus thummi thummi	Metazoa	161	16
Q9I8P7	Malayopython reticulatus	Metazoa	201	19
O75596	Homo sapiens	Metazoa	197	22
F8S0Y4	Crotalus adamanteus	Metazoa	240	19
P01321	Canis lupus familiaris	Metazoa	110	24
P02724	Homo sapiens	Metazoa	150	19
P11279	Homo sapiens	Metazoa	417	28
P81608	Sus scrofa	Metazoa	191	16
P86929	Metaphire guillelmi	Metazoa	73	14
P19035	Bos taurus	Metazoa	96	23
P05117	Solanum lycopersicum	Plants	457	24
Q91055	Heloderma horridum horridum	Metazoa	242	19
P02787	Homo sapiens	Metazoa	698	19
O43291	Homo sapiens	Metazoa	252	27
P08904	Bos taurus	Metazoa	154	27
P13204	Bos taurus	Metazoa	129	26
P43306	Clarias gariepinus	Metazoa	86	24
P02866	Canavalia ensiformis	Plants	290	29
Q9UBP4	Homo sapiens	Metazoa	350	21
Q9ZT16	Arabidopsis thaliana	Plants	135	21
P0DUS6	Doratifera vulnerans	Metazoa	60	24
P02727	Canis lupus familiaris	Metazoa	129	17
A0AT29	Lens culinaris	Plants	118	25
P0DUT6	Doratifera vulnerans	Metazoa	66	20
P08379	Locusta migratoria	Metazoa	61	22
P01706	Homo sapiens	Metazoa	119	19
Q06575	Tamias sibiricus	Metazoa	196	23
Q53NL5	Oryza sativa subsp. japonica	Plants	290	27
P09319	Oreochromis mossambicus	Metazoa	212	24
P04278	Homo sapiens	Metazoa	402	29
P54107	Homo sapiens	Metazoa	249	21
Q02083	Homo sapiens	Metazoa	359	28
Q99MG7	Mesocricetus auratus	Metazoa	172	16
Q24824	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Other	96	19
P24259	Sus scrofa	Metazoa	150	24
Q76IQ4	Oncorhynchus mykiss	Metazoa	111	26
P85966	Triticum kiharae	Plants	116	34
Q95JC9	Sus scrofa	Metazoa	676	16
P33557	Aspergillus kawachii (strain NBRC 4308)	Fungi	211	27
P27177	Gallus gallus	Metazoa	273	24
Q29011	Sus scrofa	Metazoa	2434	16
P12820	Bos taurus	Metazoa	1306	28
P55320	Homarus americanus	Metazoa	112	31
P35052	Homo sapiens	Metazoa	558	23
P23028	Pseudonaja textilis	Metazoa	152	19
P79073	Hypocrea jecorina	Fungi	86	15
A9UGV7	Oryza sativa subsp. japonica	Plants	63	26
C1IC47	Walterinnesia aegyptia	Metazoa	83	21
P00772	Sus scrofa	Metazoa	266	16
P46162	Bos taurus	Metazoa	63	22
Q7T2Q6	Bungarus flaviceps flaviceps	Metazoa	83	24
Q7ZTA0	Agkistrodon piscivorus piscivorus	Metazoa	240	19
Q27441	Aplysia californica	Metazoa	92	21
P01297	Sus scrofa	Metazoa	121	24
Q95UE8	Lucilia cuprina	Metazoa	220	19
P16860	Homo sapiens	Metazoa	134	26
P52193	Bos taurus	Metazoa	417	17
Q41358	Sambucus nigra	Plants	570	28
P45697	Olivierus martensii	Metazoa	84	19
P17690	Bos taurus	Metazoa	345	19
P04844	Homo sapiens	Metazoa	631	22
P09470	Mus musculus	Metazoa	1312	34
O57690	Protobothrops flavoviridis	Metazoa	200	19
P15703	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	313	23
Q6IV20	Gallus gallus	Metazoa	104	22
P02224	Chironomus thummi thummi	Metazoa	162	15
P55057	Oryctolagus cuniculus	Metazoa	124	27
P05452	Homo sapiens	Metazoa	202	21
Q8JGT9	Rhabdophis tigrinus tigrinus	Metazoa	237	18
P05164	Homo sapiens	Metazoa	745	48
P13806	Oryctolagus cuniculus	Metazoa	1106	26
Q10746	Rattus norvegicus	Metazoa	101	32
P10297	Phytolacca americana	Plants	313	22
P35481	Cyprinus carpio	Metazoa	129	18
P01538	Viscum album	Plants	111	26
Q13651	Homo sapiens	Metazoa	578	21
Q8WRY4	Centruroides limpidus	Metazoa	84	19
P0DMJ5	Radianthus crispa	Metazoa	78	22
Q05538	Solanum lycopersicum	Plants	322	22
P52706	Prunus serotina	Plants	563	27
P07478	Homo sapiens	Metazoa	247	15
P14210	Homo sapiens	Metazoa	728	31
P0DKR6	Dendroaspis polylepis polylepis	Metazoa	78	21
P19427	Bos taurus	Metazoa	201	18
Q10NX8	Oryza sativa subsp. japonica	Plants	858	30
P01223	Bos taurus	Metazoa	138	20
P01730	Homo sapiens	Metazoa	458	25
P08125	Gallus gallus	Metazoa	674	18
P29022	Zea mays	Plants	280	25
P19708	Canis lupus familiaris	Metazoa	129	18
P16112	Homo sapiens	Metazoa	2530	16
Q64277	Mus musculus	Metazoa	311	24
Q6H3D7	Trimeresurus stejnegeri	Metazoa	137	16
P27613	Trichostrongylus colubriformis	Metazoa	173	15
P01830	Rattus norvegicus	Metazoa	161	19
P20462	Notamacropus eugenii	Metazoa	176	18
Q800Y2	Argyrosomus regius	Metazoa	118	19
C0HKC3	Agkistrodon piscivorus leucostoma	Metazoa	139	16
P28088	Bos taurus	Metazoa	441	26
P10645	Homo sapiens	Metazoa	457	18
Q9Y5H9	Homo sapiens	Metazoa	948	22
Q969Z4	Homo sapiens	Metazoa	430	25
Q8RUW5	Arabidopsis thaliana	Plants	433	19
Q9N2D3	Callithrix jacchus	Metazoa	388	16
P28351	Aspergillus niger	Fungi	545	31
D1MGU0	Protobothrops jerdonii	Metazoa	156	23
B7ZS96	Xenopus laevis	Metazoa	153	19
P91629	Drosophila miranda	Metazoa	126	16
Q98967	Oncorhynchus keta	Metazoa	130	19
P81058	Penaeus vannamei	Metazoa	82	19
P20474	Bothrops asper	Metazoa	138	16
P01226	Equus caballus	Metazoa	129	18
Q9UVI4	Claviceps fusiformis	Fungi	394	16
O70165	Mus musculus	Metazoa	334	17
P39037	Sus scrofa	Metazoa	232	15
P60771	Naja kaouthia	Metazoa	83	21
P11919	Manduca sexta	Metazoa	88	26
P97710	Rattus norvegicus	Metazoa	509	31
P01715	Homo sapiens	Metazoa	115	20
P86009	Dromaius novaehollandiae	Metazoa	238	17
C0HKM3	Conus purpurascens	Metazoa	458	18
Q2PGV8	Aureobasidium pullulans	Fungi	361	26
Q4LCT0	Androctonus australis	Metazoa	80	22
P12387	Cavia porcellus	Metazoa	1666	22
Q63191	Rattus norvegicus	Metazoa	1216	21
Q28989	Sus scrofa	Metazoa	421	26
Q29486	Felis catus	Metazoa	524	17
Q96IQ7	Homo sapiens	Metazoa	327	23
P21760	Gallus gallus	Metazoa	178	20
P01346	Rattus norvegicus	Metazoa	180	24
P81418	Phytolacca americana	Plants	65	27
Q43767	Hordeum vulgare	Plants	115	25
Q9Y5U5	Homo sapiens	Metazoa	241	25
P10082	Homo sapiens	Metazoa	97	28
G5ED35	Caenorhabditis elegans	Metazoa	135	20
P16368	Bos taurus	Metazoa	220	26
P05408	Homo sapiens	Metazoa	212	26
P02652	Homo sapiens	Metazoa	100	18
O15467	Homo sapiens	Metazoa	120	23
Q07081	Aquarana catesbeiana	Metazoa	464	16
P80284	Hordeum vulgare	Plants	513	25
P22458	Oryctolagus cuniculus	Metazoa	475	19
P01235	Cyprinus carpio	Metazoa	144	27
O00748	Homo sapiens	Metazoa	559	26
P07093	Homo sapiens	Metazoa	398	19
P01088	Zea mays	Plants	155	28
P23141	Homo sapiens	Metazoa	567	17
Q9QXU1	Mesocricetus auratus	Metazoa	172	15
Q5ECE3	Lonomia obliqua	Metazoa	201	16
Q62718	Rattus norvegicus	Metazoa	344	32
O95967	Homo sapiens	Metazoa	443	23
Q8N6C8	Homo sapiens	Metazoa	439	23
P01221	Cyprinus carpio	Metazoa	118	23
P08176	Dermatophagoides pteronyssinus	Metazoa	320	18
P00749	Homo sapiens	Metazoa	431	20
P12024	Drosophila melanogaster	Metazoa	1315	29
O02380	Tyrophagus putrescentiae	Metazoa	141	15
Q99616	Homo sapiens	Metazoa	98	16
P83618	Panax ginseng	Plants	238	23
P54803	Homo sapiens	Metazoa	685	42
Q805F3	Xenopus laevis	Metazoa	397	16
Q9M0S4	Arabidopsis thaliana	Plants	127	21
Q10E50	Oryza sativa subsp. japonica	Plants	163	43
Q02471	Daboia siamensis	Metazoa	138	16
P0DQE1	Scolopendra dehaani	Metazoa	109	23
P27919	Avena sativa	Plants	214	28
P14213	Tachypleus tridentatus	Metazoa	77	23
P33579	Rattus norvegicus	Metazoa	238	30
Q9H1M4	Homo sapiens	Metazoa	99	20
P01588	Homo sapiens	Metazoa	193	27
P01024	Homo sapiens	Metazoa	1663	22
Q09140	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1448	18
Q28173	Bos taurus	Metazoa	416	22
P06727	Homo sapiens	Metazoa	396	20
Q6YDN9	Brassica oleracea var. botrytis	Plants	295	23
P21782	Bos taurus	Metazoa	168	32
P00623	Crotalus adamanteus	Metazoa	138	16
P01005	Gallus gallus	Metazoa	210	24
P85204	Actinidia chinensis var. chinensis	Plants	114	25
P01308	Homo sapiens	Metazoa	110	24
C0HLA0	Chamaecyparis obtusa	Plants	556	28
P43497	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	92	20
Q9BKB7	Mesobuthus eupeus	Metazoa	57	21
Q28388	Equus caballus	Metazoa	180	18
P13595	Mus musculus	Metazoa	1115	19
P46165	Bos taurus	Metazoa	62	22
Q09117	Populus deltoides	Plants	312	24
O62644	Bos taurus	Metazoa	151	18
Q16790	Homo sapiens	Metazoa	459	37
D1MGU1	Protobothrops jerdonii	Metazoa	146	23
P11684	Homo sapiens	Metazoa	91	21
P16975	Rattus norvegicus	Metazoa	301	17
A8Y7P1	Daboia siamensis	Metazoa	84	24
Q17060	Apis mellifera	Metazoa	544	20
Q2YHJ4	Craspedocephalus borneensis	Metazoa	138	16
P93680	Persea americana	Plants	326	25
A8CG86	Daboia russelii	Metazoa	138	16
P13385	Homo sapiens	Metazoa	188	30
P52823	Homo sapiens	Metazoa	247	17
P22297	Manduca sexta	Metazoa	681	18
P33183	Sambucus nigra	Plants	563	25
A3RJ36	Bubalus bubalis	Metazoa	64	24
F5CPE0	Micrurus altirostris	Metazoa	80	21
P34998	Homo sapiens	Metazoa	415	23
Q90W39	Protobothrops mucrosquamatus	Metazoa	138	16
P0DKL3	Maackia amurensis	Plants	287	29
P18709	Xenopus laevis	Metazoa	1807	15
P22146	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	559	22
Q8VCS0	Mus musculus	Metazoa	530	22
Q7Z5A7	Homo sapiens	Metazoa	132	43
Q9DEA1	Deinagkistrodon acutus	Metazoa	146	23
B1P0S1	Pseudopleuronectes americanus	Metazoa	218	23
P13611	Homo sapiens	Metazoa	3396	20
P02872	Arachis hypogaea	Plants	273	23
P61823	Bos taurus	Metazoa	150	26
P24090	Rattus norvegicus	Metazoa	352	18
Q6UWV2	Homo sapiens	Metazoa	235	31
P07267	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	405	22
P29007	Bombina orientalis	Metazoa	155	31
Q9Y5Q6	Homo sapiens	Metazoa	135	22
Q08380	Homo sapiens	Metazoa	585	18
P17936	Homo sapiens	Metazoa	291	27
G1CWH5	Clitoria ternatea	Plants	130	25
P02876	Triticum aestivum	Plants	213	27
Q9SUQ8	Arabidopsis thaliana	Plants	187	29
Q9BX93	Homo sapiens	Metazoa	195	19
P34951	Hordeum vulgare	Plants	143	24
P21956	Mus musculus	Metazoa	463	22
P00773	Rattus norvegicus	Metazoa	266	16
A0A2I8B353	Paralithodes camtschaticus	Metazoa	76	23
P01245	Equus caballus	Metazoa	216	26
Q17058	Apis mellifera	Metazoa	567	17
B6RLX2	Ophiophagus hannah	Metazoa	83	25
P98184	Bryonia dioica	Plants	282	21
Q9VG55	Drosophila melanogaster	Metazoa	191	24
P31025	Homo sapiens	Metazoa	176	18
A0A0D1DWQ2	Mycosarcoma maydis	Fungi	290	21
P86407	Mesobuthus eupeus	Metazoa	75	22
P85197	Lonomia obliqua	Metazoa	180	16
P83636	Faxonius limosus	Metazoa	106	29
Q7ZTA6	Crotalus viridis viridis	Metazoa	138	16
Q95M17	Bos taurus	Metazoa	472	21
A8CG90	Daboia russelii	Metazoa	137	16
P22362	Homo sapiens	Metazoa	96	23
Q4LCS9	Androctonus australis	Metazoa	80	22
P09955	Sus scrofa	Metazoa	416	15
P83234	Ophiophagus hannah	Metazoa	190	20
P45696	Androctonus australis	Metazoa	59	22
Q9SJY7	Arabidopsis thaliana	Plants	131	21
P24854	Sus scrofa	Metazoa	259	22
Q02126	Hordeum vulgare	Plants	330	25
P17697	Bos taurus	Metazoa	439	19
P24063	Mus musculus	Metazoa	1162	23
P01034	Homo sapiens	Metazoa	146	26
Q39528	Cladrastis kentukea	Plants	293	35
P01161	Rattus norvegicus	Metazoa	152	24
Q16270	Homo sapiens	Metazoa	282	26
Q4W1I9	Zinnia elegans	Plants	321	30
Q8W257	Ptilota filicina	Other	500	21
P06312	Homo sapiens	Metazoa	121	20
Q6UX27	Homo sapiens	Metazoa	236	16
P01217	Bos taurus	Metazoa	120	24
Q9YH85	Gallus gallus	Metazoa	2120	24
Q01774	Drosophila miranda	Metazoa	112	16
L7VIN3	Hermetia illucens	Metazoa	69	23
Q00017	Aspergillus aculeatus	Fungi	250	17
Q4WZ11	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	87	19
C5P3X6	Coccidioides posadasii (strain C735)	Fungi	276	18
Q56TT9	Hottentotta judaicus	Metazoa	85	19
P53543	Clarias gariepinus	Metazoa	138	21
P13083	Cavia porcellus	Metazoa	126	26
P18659	Macaca fascicularis	Metazoa	99	20
P26011	Mus musculus	Metazoa	806	19
P28335	Homo sapiens	Metazoa	458	32
P84805	Naja kaouthia	Metazoa	239	18
Q90WJ7	Takifugu pardalis	Metazoa	391	20
Q9TW98	Pinctada fucata	Metazoa	131	23
P20362	Paralichthys olivaceus	Metazoa	231	24
P61916	Homo sapiens	Metazoa	151	19
P32358	Bombyx mori	Metazoa	579	15
A3RF67	Dalbergia nigrescens	Plants	547	31
P23035	Oryctolagus cuniculus	Metazoa	413	24
Q9C0Y4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	969	24
Q8T0W3	Pimpla hypochondriaca	Metazoa	63	25
P81054	Grifola frondosa	Fungi	348	18
P26894	Sus scrofa	Metazoa	103	25
A0A1W6EVN2	Ampulex compressa	Metazoa	50	26
P81264	Bos taurus	Metazoa	98	22
B5U6Y4	Echis ocellatus	Metazoa	138	16
P30438	Felis catus	Metazoa	92	22
Q9Y0X9	Aedes albopictus	Metazoa	59	23
P01008	Homo sapiens	Metazoa	464	32
Q96318	Arabidopsis thaliana	Plants	524	23
P01038	Gallus gallus	Metazoa	139	23
P10256	Oncorhynchus keta	Metazoa	142	23
I7ICN3	Bitis rhinoceros	Metazoa	150	23
Q14520	Homo sapiens	Metazoa	560	23
O01949	Aedes aegypti	Metazoa	273	19
Q9S8P4	Pisum sativum	Plants	217	20
Q62192	Mus musculus	Metazoa	661	20
P12961	Mus musculus	Metazoa	212	26
O48540	Solanum lycopersicum	Plants	397	23
D3JXM1	Mesobuthus eupeus	Metazoa	59	22
P27275	Amaranthus caudatus	Plants	86	25
I1SB12	Microdochium nivale	Fungi	495	22
Q43871	Hordeum vulgare	Plants	115	25
Q8T113	Bombyx mori	Metazoa	227	17
O95711	Homo sapiens	Metazoa	162	20
P81019	Bos taurus	Metazoa	183	25
P81447	Capra hircus	Metazoa	154	18
O93233	Gloydius brevicaudus siniticus	Metazoa	331	23
P81497	Suncus murinus	Metazoa	387	16
P10354	Rattus norvegicus	Metazoa	466	18
P18418	Rattus norvegicus	Metazoa	416	17
P80384	Lepidoglyphus destructor	Metazoa	141	16
Q9Y0Y0	Aedes albopictus	Metazoa	60	24
P85261	Actinidia chinensis var. chinensis	Plants	213	24
Q805A2	Protobothrops flavoviridis	Metazoa	138	16
Q5EPH2	Rhipicephalus bursa	Metazoa	97	22
C0STK8	Elaphe climacophora	Metazoa	202	19
P15691	Bos taurus	Metazoa	190	26
Q96X54	Aspergillus awamori	Fungi	628	25
Q9XTN0	Bombyx mori	Metazoa	196	23
Q12396	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	444	46
Q9PWF3	Crotalus durissus terrificus	Metazoa	65	22
P35355	Rattus norvegicus	Metazoa	604	17
P17213	Homo sapiens	Metazoa	487	31
O62680	Sus scrofa	Metazoa	123	25
P01379	Laticauda semifasciata	Metazoa	87	21
P47853	Rattus norvegicus	Metazoa	369	16
P05014	Homo sapiens	Metazoa	189	23
P97430	Mus musculus	Metazoa	131	25
Q9UAC9	Olivierus martensii	Metazoa	85	19
Q8MTX2	Opisthacanthus madagascariensis	Metazoa	71	23
P02745	Homo sapiens	Metazoa	245	22
Q95NY5	Anopheles stephensi	Metazoa	315	18
P58294	Homo sapiens	Metazoa	105	19
P01566	Homo sapiens	Metazoa	189	23
P11215	Homo sapiens	Metazoa	1152	16
P04119	Sus scrofa	Metazoa	178	18
P28319	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	239	20
P34095	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Other	98	21
P01048	Rattus norvegicus	Metazoa	430	18
P04090	Homo sapiens	Metazoa	185	24
P86404	Mesobuthus eupeus	Metazoa	86	19
Q6H3D6	Trimeresurus stejnegeri	Metazoa	137	16
P49278	Dermatophagoides pteronyssinus	Metazoa	146	17
P06028	Homo sapiens	Metazoa	91	19
Q8MJV4	Bos taurus	Metazoa	122	24
P05099	Gallus gallus	Metazoa	493	23
